Serial No,Name,Description,Link,Tags
1,3DTK,The 3D Toolkit provides algorithms and methods to process 3D point clouds,http://threedtk.de,"['c/c++', 'cmake', 'opencv', 'ros', 'boost']"
2,52° North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,https://52north.org/,"['javascript', 'java', 'spring', 'r', 'big data']"
3,AerospaceResearch.net,making space together,http://www.aerospaceresearch.net,"['python', 'c/c++', 'vhdl', 'boinc', 'java']"
4,aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""",http://github.com/aimacode,"['python', 'java', 'javascript', 'ai', 'jupyter']"
5,Amahi,"Amahi, a home digital assistant at your fingertips.",http://www.amahi.org,"['ruby on rails', 'golang', 'swift', 'javascript', 'android']"
6,AOSSIE - Australian Open Source Software Innovation and Education,Australian Umbrella Org for Open-Source Projects,http://aossie.org/,"['scala', 'isabelle proof assistant', 'browser extension', 'javascript/html5/css3', 'android/ios']"
7,Apache Software Foundation,Providing open source software to the public free of charge,https://apache.org,"['c', 'java', 'erlang']"
8,Apertium,A free/open-source platform for machine translation and language technology,http://www.apertium.org,"['c++', 'python', 'xml', 'fsts']"
9,Apertus Association,Open Technology for Professional Film Production,http://www.apertus.org,"['fpga', 'embedded', 'linux', 'c/c++', 'vhdl']"
10,appleseedhq,A modern open source rendering engine for animation and visual effects,https://appleseedhq.net/,"['c/c++', 'qt']"
11,ArduPilot,The worlds most advanced open source autopilot,http://ardupilot.org,"['drones', 'python', 'linux', 'c/c++', 'robotics']"
12,BeagleBoard.org Foundation,Open hardware and software for physical computing,https://beagleboard.org,"['linux', 'gcc', 'real-time', 'physical computing', 'iot']"
13,Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM",http://beamcommunity.github.io,"['erlang', 'xmpp']"
14,BeeWare Project,Tools for cross-platform Python application development.,https://pybee.org,"['python', 'ios', 'android', 'javascript', 'java']"
15,Berkman Klein Center for Internet & Society at Harvard University,"Exploring cyberspace, sharing in its study, and helping pioneer its development.",https://cyber.harvard.edu,"['ruby on rails', 'meteor.js', 'elasticsearch', 'javascript', 'elk']"
16,Blender Foundation,We build a free and open source 3D creation suite.,https://www.blender.org,"['c', 'c++', 'python', 'opengl', 'opencl']"
17,Boost C++ Libraries,Boost provides free peer-reviewed portable C++ source libraries,http://www.boost.org/,"['c++11', 'c++14', 'c++', 'c++17']"
18,Boston University / XIA,Crowdsourcing the future Internet,https://github.com/AltraMayor/XIA-for-Linux/wiki,"['xia', 'linux kernel', 'c', 'advanced data structures', 'ddos']"
19,BRL-CAD,"Solid modeling, 3D printing, comp. graphics, & other computer-aided tech (CAx)!",https://brlcad.org,"['c/c++', 'qt', 'opengl', 'opencl', 'tcl/tk']"
20,Canadian Centre for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,http://computationalgenomics.ca,"['r', 'perl', 'awk', 'bash', 'python']"
21,Catrobat,Computational Thinking for all through visual programming on phones,http://catrobat.org,"['java', 'android', 'ios', 'espresso']"
22,CCExtractor Development,"Experimenting with video software and hardware, subtitles, imaging, cloud...",https://ccextractor.org/,"['c', 'python', 'arduino', 'node.js', 'c#']"
23,Center for Research In Open Source Software (CROSS) at UC Santa Cruz,Bridging the Gap Between Student Work and Open Source Software Projects,http://cross.ucsc.edu,"['ceph', 'hadoop', 'c++', 'javascript', 'python']"
24,CERN-HSF,Umbrella organization for Particle (High-energy) Physics-related projects,http://hepsoftwarefoundation.org/activities/gsoc.html,"['c/c++', 'python', 'data analysis', 'machine learning', 'parallelization']"
25,CGAL Project,C++ library of computational geometry and geometry processing,https://www.cgal.org,"['c++', 'github', 'git']"
26,CHAOSS: Community Health Analytics Open Source Software,Advacing open source project health and sustainability,https://chaoss.community/,"['python 3', 'javascript']"
27,Checker Framework,"Preventing programming errors before they happen, via easy-to-use verification",https://checkerframework.org/,['java']
28,CiviCRM LLC,"Build, engage and organize your constituents",https://civicrm.org,"['php', 'mysql', 'angularjs', 'd3.js']"
29,Classical Language Toolkit,NLP for the Ancient World,http://cltk.org/,"['python', 'javascript']"
30,"CLiPS, University of Antwerp",Computational (Psycho)Linguistics,https://www.uantwerpen.be/en/research-groups/clips,"['python', 'javascript', 'mongodb']"
31,Cloud Native Computing Foundation (CNCF),Sustaining open source cloud native projects like Kubernetes and Prometheus,https://www.cncf.io/,"['kubernetes', 'prometheus', 'grpc', 'docker', 'golang']"
32,CloudCV,Building platforms for reproducible AI research,http://cloudcv.org,"['machine learning', 'deep learning', 'computer vision', 'artificial intelligence', 'cloud']"
33,coala,Linting and Fixing Code for All Languages,https://coala.io/,"['django', 'python 3', 'antlr', 'emberjs', 'reactjs']"
34,Computational Biology @ University of Nebraska-Lincoln,"Further knowledge in health through computation, data visualization and analysis",http://helikarlab.org,"['javascript', 'webgl', 'reactjs', 'flask']"
35,Conversations.im,An open source instant messaging client and ecosystem based on Jabber & XMPP,https://Conversations.im,"['java', 'android', 'xmpp', 'gtk', 'javascript']"
36,Cuneiform Digital Library Initiative,International digital library of artifacts inscribed with cuneiform writing,https://cdli.ucla.edu,"['python', 'mariadb', 'rdf', 'php', 'nltk']"
37,DBpedia,"An Open Platform for a Large, Multilingual, Semantic Knowledge Graph",http://dbpedia.org/,"['rdf', 'scala', 'sparql']"
38,Debian Project,the universal operating system,https://debian.org,"['javascript', 'ruby', 'java', 'python', 'c/c++']"
39,Developers Italia,An open community digital public services developers,https://developers.italia.it,"['python', 'ruby', 'node.js', 'java', 'c/c++']"
40,Digital Impact Alliance,Supporting open source projects for a digital society that serves everyone.,https://digitalimpactalliance.org,"['android', 'java', 'php', 'python', 'javascript']"
41,Django Software Foundation,The web framework for perfectionists with deadlines.,https://www.djangoproject.com,"['python', 'django']"
42,Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Let's make something amazing",https://www.drupal.org/,"['web', 'web development', 'content management system', 'cms', 'object-oriented']"
43,Earth Science Information Partners (ESIP),Making Earth science data matter.,http://esipfed.org,"['kubernetes', 'dask', 'xarray', 'python', 'javascript']"
44,Elastic,"We are the creators of Elasticsearch, Kibana, Beats, and Logstash.",https://www.elastic.co,"['java', 'golang', 'node.js', 'react', 'jruby']"
45,Eta,Eta is a dialect of Haskell on the Java Virtual Machine.,https://eta-lang.org/,"['haskell', 'jvm', 'java']"
46,Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First",https://getfedora.org/,"['linux', 'python', 'git', 'postgresql', 'ansible']"
47,FFmpeg,"A complete, cross-platform solution to record, convert & stream audio and video.",https://www.ffmpeg.org/,"['c', 'asm', 'git']"
48,FOSSASIA,Improve People's Lives,https://fossasia.org,"['java', 'javascript', 'python', 'android', 'artificial intelligence']"
49,FOSSology,Open Source License Compliance by Open Source Software,https://fossology.org/,"['php', 'postgresql', 'lamp', 'linux', 'c/c++']"
50,Free and Open Source Silicon Foundation,"The home for open source hardware, EDA tools and the related ecosystem",https://fossi-foundation.org,"['fpga', 'verilog', 'c', 'chisel', 'synthesis']"
51,Free UK Genealogy,Human transcription of family history data,http://www.freeukgenealogy.org.uk,"['mongodb', 'ruby on rails', 'mysql', 'python', 'css/html']"
52,FreeBSD,FreeBSD: The Foundation of the Internet,https://www.FreeBSD.org/,"['c/c++', 'llvm', 'shell script', 'assembly', 'make']"
53,FreeType,A software library to render fonts.,http://freetype.org,"['c', 'gnu make', 'gnu autotools', 'python', 'fonts']"
54,freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,https://freifunk.net,"['openwrt', 'javascript', 'html', 'c', 'python']"
55,"Genes, Genomes and Variation",Genomic sequence and annotation databases and browsers,http://www.ensembl.org,"['perl', 'mysql', 'java script']"
56,GENIVI Alliance,Developing open software for IVI and the connected car.,https://www.genivi.org/,"['yocto', 'c/c++', 'java']"
57,Gentoo Foundation,"A flexible, source-based Linux distribution.",https://gentoo.org/,"['shell script', 'bash', 'c/c++', 'python', 'linux']"
58,GFOSS - Open Technologies Alliance,Promote Openness with the use and development of Open Standards & Open Source.,http://gfoss.eu,"['python 3', 'php/javascript/html', 'css/html', 'java', 'c/c++']"
59,Git,"Fast, scalable, distributed revision control system",http://git-scm.com,"['c', 'shell script', 'git']"
60,Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health.,http://ga4gh.org,"['java', 'python', 'cloud', 'c/c++', 'mongodb']"
61,GNOME,A free desktop environment for GNU/Linux.,https://www.gnome.org/,"['c', 'python', 'javascript', 'gtk+', 'gobject']"
62,GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver,http://gnss-sdr.org/,"['c/c++', 'gnss', 'c++11', 'c++14']"
63,GNU Compiler Collection (GCC),GCC,https://gcc.gnu.org/,"['c++', 'c', 'openmp']"
64,GNU Octave,Free Your Numbers,https://www.octave.org,"['c++', 'hg']"
65,GNU Project,GNU is an operating system that is free software,https://www.gnu.org,"['c', 'lisp', 'python']"
66,GNU Radio,The free & open software radio ecosystem,https://www.gnuradio.org/,"['c++', 'python', 'simd', 'qt']"
67,Godot Engine,Godot is a multi-platform 2D and 3D game engine with a feature-rich editor,https://godotengine.org,"['c++', 'cpp', 'opengl', 'github', 'crossplatform']"
68,gRPC,"A high performance, open-source universal RPC framework",https://grpc.io,"['grpc', 'microservices', 'distributed systems', 'cloud']"
69,Haiku,Integrated operating system for personal computers,http://www.haiku-os.org,"['c++', 'webkit', 'ffmpeg', 'posix', 'bsd unix']"
70,Haskell.org,"Standardized, statically typed, lazy functional programming language",http://haskell.org,['haskell']
71,Homebrew,"An open source, console package manager for macOS",https://brew.sh,"['ruby', 'git', 'macos', 'rspec', 'bash']"
72,INCF,Advancing global collaborative brain research,http://incf.org/,"['python', 'c/c++', 'javascript', 'cuda', 'xml']"
73,Inclusive Design Institute,The IDI addresses the challenge of designing ICT to work for all potential users,http://inclusivedesign.ca,"['javascript', 'html', 'css', 'node.js', 'php']"
74,Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OSX, & Linux.",https://www.inkscape.org/,"['svg', 'css', 'c++11', 'python', 'gtk+']"
75,Inria Foundation,SOFA is an efficient simulation engine for research in medical simulation.,https://www.sofa-framework.org/,"['c/c++', 'qt', 'webassembly', 'asm', 'communication protocol']"
76,Institute for Artificial Intelligence,Research in Artificial Intelligence for Autonomous Mobile Robots,http://ai.uni-bremen.de/,"['c++', 'python', 'ros', 'unreal engine', 'lisp']"
77,Intel Media And Audio For Linux,"Open Source Media libraries, Applications, User space driver and Specification.",https://01.org/linuxmedia,"['video', 'codecs', 'hardware acceleration', 'va-api', 'c']"
78,InterMine,"Integrating biological data sources, making it easy to query and analyse data",http://intermine.org/,"['postgresql', 'java', 'javascript', 'python', 'clojure']"
79,Internet Archive,Universal Access to All Knowledge,http://www.archive.org,"['pthon', 'javascript']"
80,Internet Systems Consortium,We support critical internet infrastructure with quality open source,http://www.isc.org,"['dhcp', 'c/c++', 'mysql', 'cassandra', 'rest']"
81,JBoss Community,Community of Java projects around JBoss Middleware,http://www.jboss.org/,"['java', 'android', 'ios', 'opentracing', 'apache kafka']"
82,JdeRobot - Universidad Rey Juan Carlos,A software framework for developing applications in robotics and computer vision,http://jderobot.org,"['ros', 'python', 'c++', 'gazebo', 'opencv']"
83,Jenkins project,Jenkins is an open-source automation server,https://jenkins.io/,"['java', 'groovy', 'javascript']"
84,JGraphT,Java library that provides graph data-structures and algorithms.,http://jgrapht.org/,['java']
85,Jitsi,The most innovative Open Source video conferencing community. Period.,https://jitsi.org,"['java', 'javascript', 'webrtc', 'react', 'react native']"
86,Joomla!,"Joomla, the flexible platform empowering website creators.",https://www.joomla.org,"['php', 'javascript', 'mysql', 'html5/css3', 'cms']"
87,JSK Robotics Laboratory / The University of Tokyo,JSK is focusing on the fundamental functions & systems for intelligent robots .,http://www.jsk.t.u-tokyo.ac.jp/,['ros']
88,KDE Community,Experience Freedom!,https://www.kde.org,"['qt', 'c/c++', 'qml']"
89,Kiwix,Internet content for people without internet access,http://www.kiwix.org/,"['android', 'java', 'c++', 'python', 'qt']"
90,LabLua,Programming Languages Research with emphasis on the Lua language,http://www.lua.inf.puc-rio.br,"['lua', 'céu']"
91,languagetool.org,Style and grammar checker,https://languagetool.org,"['java', 'javascript', 'machine learning', 'ai', 'tensorflow']"
92,LEAP Encryption Access Project,We make encryption easy to use.,https://leap.se,"['python', 'twisted', 'javascript', 'openvpn', 'gnupg']"
93,LibreHealth,Healthcare for Humanity,http://librehealth.io/,"['java', 'php', 'javascript', 'mysql', 'webcomponents']"
94,LibreOffice,LibreOffice is the leading free and open source office suite.,https://www.libreoffice.org/,"['c++', 'java', 'python']"
95,libvirt,Toolkit to manage virtualization hosts from many languages,https://libvirt.org/,"['hypervisor', 'kvm', 'xen', 'lxc']"
96,LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,http://llvm.org,['llvm']
97,LuaRocks,The package manager for the Lua programming language,http://luarocks.org,"['lua', 'linux', 'windows', 'unix', 'c']"
98,MariaDB Foundation,One of the most popular databases on the web with many notable users,https://mariadb.org,"['mariadb', 'mysql', 'c', 'c++', 'java']"
99,Matrix.org,"An ambitious open ecosystem for decentralised, encrypted communication.",https://matrix.org,"['golang', 'ios', 'android', 'python', 'react']"
100,MetaBrainz Foundation Inc.,Curating open data sets with open source softer and loads of volunteers.,https://metabrainz.org,"['python', 'perl', 'javascript', 'postgresql', 'react']"
101,Metasploit,The world’s most used penetration testing framework,https://metasploit.com,"['ruby', 'postgresql', 'python', 'c', 'assembly']"
102,Mixxx DJ Software,"DJ Your Way, For Free. Join our friendly community of hackers, DJs, and artists!",https://www.mixxx.org/,"['qt', 'audio', 'music', 'real-time', 'c++']"
103,mlpack,a scalable C++ machine learning library,http://www.mlpack.org/,['c++']
104,Mobile Robot Programming Toolkit (MRPT),Empowering C++ development in robotics,https://www.mrpt.org,"['c/c++', 'cmake', 'python', 'webs']"
105,Moodle,Empowering educators to improve our world,https://moodle.org/,"['php', 'javascript', 'ionic', 'sql', 'angular']"
106,MovingBlocks,Terasology: like an open source Minecraft - imagine the possibilities!,http://terasology.org,"['java', 'opengl', 'json', 'blender', 'github']"
